Emotion,Gender,Talker,Cue,sentencenum,code,sentence,scoring word 1,scoring word 2,Arousal,Valence,Category_Accuracy,GoF,Percent_A,Percent_C,Percent_H,Percent_S,,,,
A,M,2,M,11,AM2M11,M161.  Michael discussed the ointment and the glacier today,ointment,glacier,62.809,39.482,0.6,45.09875,0.6,0.4,0,0,,,,
A,M,2,M,21,AM2M21,M171.  Michael discussed the purchase and the nap today,purchase,nap,66.858,37.7,0.7,45.6825,0.7,0.3,0,0,,,,
A,F,1,M,24,AF1M24,M54.  Michael discussed the kitten and the genius today,kitten,genius,69.42,32.178,0.8,46.14285714,0.8,0.1,0.1,0,,,,
A,M,2,T,14,AM2T14,T164.  Theo discussed the vote and the fish today,vote,fish,66.794,34.514,0.8,46.7025,0.8,0.2,0,0,,,,
A,M,2,V,30,AM2V30,V180.  Victor discussed the juice and the claw today,juice,claw,65.505,36.409,0.8,46.76375,0.8,0.2,0,0,,,,
A,F,1,V,5,AF1V05,V35.  Victor discussed the thunder and the meat today,thunder,meat,70.651,35.502,0.8,47.43285714,0.8,0.2,0,0,,,,
A,M,2,M,14,AM2M14,M164.  Michael discussed the catch and the rope today,catch,rope,64.359,38.966,0.6,47.62625,0.6,0.4,0,0,,,,
A,M,2,V,13,AM2V13,V163.  Victor discussed the failure and the crab today,failure,crab,65.663,38.855,0.9,47.83375,0.9,0.1,0,0,,,,
A,F,1,M,27,AF1M27,M57.  Michael discussed the strain and the drum today,strain,drum,67.346,33.993,0.8,48.45142857,0.8,0.1,0,0.1,,,,
A,M,2,V,26,AM2V26,V176.  Victor discussed the heel and the loan today,heel,loan,69.729,32.996,0.7,49.00625,0.7,0.3,0,0,,,,
A,F,3,V,2,AF3V02,V272.  Victor discussed the forecast and the raccoon today,forecast,raccoon,74.559,34.124,0.7,49.16375,0.7,0.3,0,0,,,,
A,M,2,M,26,AM2M26,M176.  Michael discussed the roll and the blink today,roll,blink,60.99,33.945,0.6,49.30125,0.6,0.4,0,0,,,,
A,M,2,M,30,AM2M30,M180.  Michael discussed the sign and the head today,sign,head,65.279,37.444,0.6,49.40375,0.6,0.3,0.1,0,,,,
A,F,1,V,4,AF1V04,V34.  Victor discussed the symptom and the litter today,symptom,litter,69.505,32.883,1,49.56714286,1,0,0,0,,,,
A,F,1,V,18,AF1V18,V48.  Victor discussed the escape and the bar today,escape,bar,67.142,32.803,0.8,49.64714286,0.8,0.2,0,0,,,,
A,F,1,M,7,AF1M07,M37.  Michael discussed the tag and the walnut today,tag,walnut,68.612,35.097,0.6,49.90428571,0.6,0.4,0,0,,,,
A,M,2,T,11,AM2T11,T161.  Theo discussed the chapel and the workout today,chapel,workout,68.672,37.393,0.8,49.91625,0.8,0.2,0,0,,,,
A,M,2,T,13,AM2T13,T163.  Theo discussed the bracelet and the lisp today,bracelet,lisp,65.447,38.481,0.9,50.07,0.9,0.1,0,0,,,,
A,F,3,T,3,AF3T03,T273.  Theo discussed the hail and the table today,hail,table,68.926,33.262,0.9,50.075,0.9,0.1,0,0,,,,
A,F,3,T,12,AF3T12,T282.  Theo discussed the extra and the split today,extra,split,67.457,34.296,0.6,50.1775,0.6,0.3,0.1,0,,,,
A,M,1,M,4,AM1M04,M34.  Michael discussed the mountain and the college today,mountain,college,70.485,32.106,0.8,50.26625,0.8,0.2,0,0,,,,
A,M,2,M,20,AM2M20,M170.  Michael discussed the food and the dimple today,food,dimple,68.005,31.985,0.8,50.35875,0.8,0.2,0,0,,,,
A,M,2,M,18,AM2M18,M168.  Michael discussed the war and the elf today,war,elf,62.2,35.998,0.7,50.48125,0.7,0.3,0,0,,,,
S,F,3,T,17,SF3T17,T317.  Theo discussed the bit and the shack today,bit,shack,33.772,36.88,0.9,50.52125,0,0.1,0,0.9,,,,
A,F,1,V,8,AF1V08,V38.  Victor discussed the moisture and the key today,moisture,key,65.38,30.991,0.8,50.58142857,0.8,0.1,0,0.1,,,,
A,M,2,M,29,AM2M29,M179.  Michael discussed the movie and the pine today,movie,pine,67.99,37.349,0.9,50.7925,0.9,0.1,0,0,,,,
A,M,2,V,8,AM2V08,V158.  Victor discussed the gap and the conflict today,gap,conflict,66.337,39.275,0.5,50.95,0.5,0.3,0.2,0,,,,
